Please Tell Me,The Housemaid,The Ritual,The Inmate,The Serpent & The Wings of Night,The Ashes & The Star Cursed King,Court of Ravens and Ruin,Dopamine Detox,Don't Believe Everything You Think,The Art of Letting Go,CS_Logit,CS_X,CS_PCA
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1,0.25108137817839693,0.32400636663250776,-0.22194114600287962
0,0,0,0,0,0,0,0,1,0,0.5595057190807745,0.5379449974018413,-0.09829246390192956
0,0,0,0,0,0,0,0,1,1,1.1344330550527948,1.1634268725734527,0.5636374461471213
0,0,0,0,0,0,0,1,0,0,0.46236713043748007,0.30139259395666074,0.09022377846579581
0,0,0,0,0,0,0,1,0,1,1.0718175883839798,1.0503807718470994,0.6606630847996884
0,0,0,0,0,0,0,1,1,0,1.2232422968900836,1.1452240402488318,0.7123583140380642
0,0,0,0,0,0,0,1,1,1,1.5606103540150362,1.536587285370362,1.059274139213352
0,0,0,0,0,0,1,0,0,0,0.12887598190222377,0.2935561127366443,0.4770301848608514
0,0,0,0,0,0,1,0,0,1,0.9026692260559476,1.0509658364009928,0.9228295520463562
0,0,0,0,0,0,1,0,1,0,1.080429635480743,1.1755936111777743,0.9568105983189394
0,0,0,0,0,0,1,0,1,1,1.4539886443308032,1.5566264633116929,1.2523557831284398
0,0,0,0,0,0,1,1,0,0,1.0215551708911748,1.0862906854777645,1.0295108549106862
0,0,0,0,0,0,1,1,0,1,1.4122278514298319,1.4935190709972574,1.3045682825231355
0,0,0,0,0,0,1,1,1,0,1.5234743891356637,1.5627882422129864,1.3289164318733375
0,0,0,0,0,0,1,1,1,1,1.7811422396161858,1.833669292424845,1.53660194215274
0,0,0,0,0,1,0,0,0,0,-0.4516373606375327,-0.7030830000409635,-0.22807072299604442
0,0,0,0,0,1,0,0,0,1,0.6648838630958138,0.8151432213090275,0.5043109066558669
0,0,0,0,0,1,0,0,1,0,0.874783438246127,1.0123518938861098,0.5664816212597295
0,0,0,0,0,1,0,0,1,1,1.3232670094762562,1.4557993617681528,0.9645688523140218
0,0,0,0,0,1,0,1,0,0,0.8129121555801068,0.9066785330445312,0.6699534108232071
0,0,0,0,0,1,0,1,0,1,1.2731479665718501,1.3814817439551492,1.0287674529429232
0,0,0,0,0,1,0,1,1,0,1.398212227434596,1.4763992492075415,1.064976277192396
0,0,0,0,0,1,0,1,1,1,1.6865948262215968,1.7684469257655466,1.319982087186792
0,0,0,0,0,1,1,0,0,0,0.5860136653694293,0.7214337765310805,0.9040906816144364
0,0,0,0,0,1,1,0,0,1,1.136854843004888,1.3123266505745914,1.2160680605641385
0,0,0,0,0,1,1,0,1,0,1.27837203517188,1.4311235601764263,1.2408323926466702
0,0,0,0,0,1,1,0,1,1,1.5936483993496047,1.7482583566571555,1.4720711376505817
0,0,0,0,0,1,1,1,0,0,1.236193587750322,1.369074649919921,1.2950443820983106
0,0,0,0,0,1,1,1,0,1,1.560245100295795,1.6984962195811384,1.510281419395347
0,0,0,0,0,1,1,1,1,0,1.6573023391275206,1.7677694911908484,1.5317262374918417
0,0,0,0,0,1,1,1,1,1,1.884285180696743,1.9962528400995103,1.7037956616187182
0,0,0,0,1,0,0,0,0,0,0.029688938011142356,0.029648806219553656,-0.05060963144157929
0,0,0,0,1,0,0,0,0,1,0.8516613032265584,1.012367760533314,0.6016029194878952
0,0,0,0,1,0,0,0,1,0,1.0293357428660175,1.1724592106957612,0.6526672562037947
