book_i,book_j,title_i,title_j,price_increase_avg_plain_logit,rel_price_increase_avg_plain_logit,price_increase_avg_mlogit_attributes,rel_price_increase_avg_mlogit_attributes,price_increase_avg_mlogit_texts,rel_price_increase_avg_mlogit_texts
1,2,Please Tell Me,The Housemaid,8.284294914699686,8.820328321138016,8.845996313947488,9.254255022871849,9.646573065857957,10.044158322076434
1,3,Please Tell Me,The Ritual,5.54580066385941,6.193337856668224,6.049641852224958,6.569283987353003,6.123951951554133,6.751616271363659
1,4,Please Tell Me,The Inmate,7.736247876923819,8.29804718406395,8.32404896562911,8.770798617254428,8.67314624352592,9.139899779438199
1,5,Please Tell Me,The Serpent & The Wings of Night,5.987840483368473,6.621440102536624,6.581716529113429,7.1272805225464975,6.737711989716274,7.326387359719699
1,6,Please Tell Me,The Ashes & The Star Cursed King,5.153825983169817,5.814833177681222,5.8350999246488655,6.396998172838474,5.546216792388421,6.17560262819935
1,7,Please Tell Me,Court of Ravens and Ruin,5.824383405438155,6.465413695019984,6.067650849523865,6.640768985015033,6.040106740832627,6.583671427965521
1,8,Please Tell Me,Dopamine Detox,6.261233638637975,6.884822117454747,5.730940708799352,6.0733371583399425,5.308745357553498,5.607762195751409
1,9,Please Tell Me,Don't Believe Everything You Think,6.266680423697842,6.890809755848326,6.041418807335717,6.4820169043542375,5.559522237150389,5.893502243453441
1,10,Please Tell Me,The Art of Letting Go,5.547421174284004,6.196778292246075,5.5062203641366025,6.0541535116740315,5.1964934723212295,5.682232615594229
2,1,The Housemaid,Please Tell Me,8.296530252081602,8.832680669697368,8.8454657089693,9.25235195345422,9.665353174923702,10.0640674562541
2,3,The Housemaid,The Ritual,4.25409069305546,4.770807428061097,4.4718367039540325,4.889817914855332,4.687282931464232,5.189682751588432
2,4,The Housemaid,The Inmate,6.235989766081332,6.773356143673648,6.484148107431395,6.935528915366462,6.805267251034174,7.277843555997466
2,5,The Housemaid,The Serpent & The Wings of Night,4.652171847130141,5.174552338574035,4.913825402334176,5.366044823235516,5.3822187709937666,5.889740689465428
2,6,The Housemaid,The Ashes & The Star Cursed King,3.8730602796098736,4.381363825994599,3.9800491047720925,4.3890589683023284,4.361872987441089,4.868074489639751
2,7,The Housemaid,Court of Ravens and Ruin,4.484188359417864,5.0024551686512435,4.664314659119192,5.1359502713852585,4.984117790271796,5.460645775639761
2,8,The Housemaid,Dopamine Detox,4.898693544416659,5.423588384674238,4.8778955832435855,5.216448253002848,3.7756653458033327,4.033526956287714
2,9,The Housemaid,Don't Believe Everything You Think,4.909491861168874,5.43605061731779,4.889550993667818,5.291667520623367,3.8762828152325,4.154963229743314
2,10,The Housemaid,The Art of Letting Go,4.240183686256309,4.755976670833483,4.289608185792808,4.739133108739047,3.58257659753356,3.9405098787096193
3,1,The Ritual,Please Tell Me,5.555141114586263,6.202560223824749,6.052022679168061,6.570529775509549,6.128894523640561,6.754384591823303
3,2,The Ritual,The Housemaid,4.244702170181981,4.758621718317412,4.455431474804179,4.870089533476641,4.693650970143473,5.195903477656505
3,4,The Ritual,The Inmate,3.8387234534772787,4.311147773742086,4.355165642977802,4.768318701315966,4.055171879220765,4.503536319237944
3,5,The Ritual,The Serpent & The Wings of Night,2.480472868763968,2.8090416417025033,3.613957710544973,3.9879734428539315,2.758307532741732,3.0846553883932537
3,6,The Ritual,The Ashes & The Star Cursed King,1.8228555849597257,2.080317371329632,3.2521957281349785,3.6005143425852038,2.004507207168892,2.2606378939357574
3,7,The Ritual,Court of Ravens and Ruin,2.33688392335997,2.6498465073844457,2.260217529438968,2.5106119195107857,2.597022566180634,2.902689645859091
