StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,consent,Q68,numread_print,rank_genres_1,rank_genres_2,rank_genres_3,rank_genres_4,rank_genres_5,instr_timing_1_First Click,instr_timing_1_Last Click,instr_timing_1_Page Submit,instr_timing_1_Click Count,instr_timing_2_First Click,instr_timing_2_Last Click,instr_timing_2_Page Submit,instr_timing_2_Click Count,instr_timing_3_First Click,instr_timing_3_Last Click,instr_timing_3_Page Submit,instr_timing_3_Click Count,instr_timing_4_First Click,instr_timing_4_Last Click,instr_timing_4_Page Submit,instr_timing_4_Click Count,Comprehension #1,Comprehension #2,Q72,Q73,timing_choice1_First Click,timing_choice1_Last Click,timing_choice1_Page Submit,timing_choice1_Click Count,timing_choice2_First Click,timing_choice2_Last Click,timing_choice2_Page Submit,timing_choice2_Click Count,info_provided,impt_attr_1,impt_attr_2,impt_attr_3,impt_attr_4,impt_attr_5,suggestions,PROLIFIC_PID,STUDY_ID,SESSION_ID,selected_id_1,selected_title_1,selected_price_1,selected_position_1,leftover_money_1,selected_id_2,selected_title_2,selected_price_2,selected_position_2,leftover_money_2,order_array_id_1,order_array_titles_1,order_array_prices_1,order_array_id_2,order_array_titles_2,order_array_prices_2,action_log_1,action_log_2,rand_outcome,outcome,starting_bank,price_range_min,price_range_max,book_list_length,Q_TotalDuration,failed_both_comprehension_checks,final_title,final_price,final_leftover_money,final_id
2024-03-03 10:42:47,2024-03-03 10:44:01,IP Address,128.135.204.12,100,73,True,2024-03-03 10:44:02,R_3frz8B7nJNchzJT,,,,,41.7821,-87.6046,anonymous,EN,0.8999999761581421,,0,0,,I agree to participate in the research,65e0eda2e40fac13a1087150,0,1,3,5,4,2,0,0,2.204,0,0,0,1.925,0,0,0,2.733,0,0,0,1.887,0,2,The e-book that you would be most likely to buy in an online bookstore if you were presented with this selection of e-books outside this study,,,0.95,2.054,2.059,2,0.926,5.429,5.434,6,"Too much, it was hard to digest all the information",1,1,1,1,1,"DELETE THIS DATA, THIS IS TEST DATA, DELETE THIS DATA",65e0eda2e40fac13a1087150,65e49a065fc5ee66991f46a3,097f024l91nf,9,The Inmate,4,0,6,21,The Serpent & The Wings of Night,5,0,5,9;21;4;46;3;29;23;45;47;8,The Inmate;The Serpent & The Wings of Night;The Housemaid;Don’t Believe Everything You Think;Please Tell Me;Court of Ravens and Ruin;The Ashes & The Star Cursed King;Dopamine Detox;The Art of Letting Go;The Ritual,4;5;4;4;7;4;4;5;7;7,21;4;46;3;29;23;45;47;8,The Serpent & The Wings of Night;The Housemaid;Don’t Believe Everything You Think;Please Tell Me;Court of Ravens and Ruin;The Ashes & The Star Cursed King;Dopamine Detox;The Art of Letting Go;The Ritual,5;4;4;7;4;4;5;7;7,select;row_0;1465:::confirm;row_0;2567,open_descr;descr_0;940:::close_modal;close;2340:::open_review;review_0_2;2949:::close_modal;close;3731:::select;row_0;4544:::confirm;row_0;5442,2,choice_2,10,3,7,10,73,,The Serpent & The Wings of Night,5,5,21
2024-03-03 10:51:22,2024-03-03 10:52:25,IP Address,128.135.204.12,100,62,True,2024-03-03 10:52:26,R_3R1BHixkeFEFjct,,,,,41.7821,-87.6046,anonymous,EN,0.8999999761581421,true,100,0,2024-03-03 15:43:01,I agree to participate in the research,65e0eda2e40fac13a1087150,0,4,1,3,2,5,0,0,1.74,0,0,0,1.532,0,0,0,1.102,0,0,0,1.863,0,2,The e-book that you would be most likely to buy in an online bookstore if you were presented with this selection of e-books outside this study,,,1.367,1.997,1.9,2,1.079,1.624,1.629,2,Insufficient. I did not have enough information to make an informed choice.,1,1,1,1,1,TEST DATA PLEASE DELETE THIS DATA TEST DATA PLEASE DELETE THIS DATA,65e0eda2e40fac13a1087150,65e49a065fc5ee66991f46a3,0azz31gkpwzt,23,The Ashes & The Star Cursed King,5,0,5,9,The Inmate,5,0,5,23;9;46;47;3;21;45;29;8;4,The Ashes & The Star Cursed King;The Inmate;Don’t Believe Everything You Think;The Art of Letting Go;Please Tell Me;The Serpent & The Wings of Night;Dopamine Detox;Court of Ravens and Ruin;The Ritual;The Housemaid,5;5;7;6;7;3;3;5;3;3,9;46;47;3;21;45;29;8;4,The Inmate;Don’t Believe Everything You Think;The Art of Letting Go;Please Tell Me;The Serpent & The Wings of Night;Dopamine Detox;Court of Ravens and Ruin;The Ritual;The Housemaid,5;7;6;7;3;3;5;3;3,select;row_0;1514:::confirm;row_0;2141,select;row_0;1096:::confirm;row_0;1639,1,choice_1,10,3,7,10,62,,The Ashes & The Star Cursed King,5,5,23
2024-03-03 11:11:20,2024-03-03 11:15:51,IP Address,70.113.122.77,100,271,True,2024-03-03 11:15:52,R_5M4Eaugoseb82OB,,,,,30.5089,-97.6796,anonymous,EN,0.800000011920929,,0,0,,I agree to participate in the research,5ef4e677417ded0edb9bbe2c,1,1,3,2,5,4,6.615,6.615,7.344,1,3.099,3.099,5.067,1,1.984,1.984,3.397,1,2.681,2.681,4.435,1,2,The e-book that you would be most likely to buy in an online bookstore if you were presented with this selection of e-books outside this study,,,1.14,92.451,92.502,13,7.173,8.336,8.378,2,Just enough information to make an informed choice,9,9,4,10,5,,5ef4e677417ded0edb9bbe2c,65e49a065fc5ee66991f46a3,65e4a114192761ece670d8d9,23,The Ashes & The Star Cursed King,3,6,7,29,Court of Ravens and Ruin,3,4,7,47;45;8;4;29;9;23;21;46;3,The Art of Letting Go;Dopamine Detox;The Ritual;The Housemaid;Court of Ravens and Ruin;The Inmate;The Ashes & The Star Cursed King;The Serpent & The Wings of Night;Don’t Believe Everything You Think;Please Tell Me,5;7;5;5;3;5;3;4;7;3,47;45;8;4;29;9;21;46;3,The Art of Letting Go;Dopamine Detox;The Ritual;The Housemaid;Court of Ravens and Ruin;The Inmate;The Serpent & The Wings of Night;Don’t Believe Everything You Think;Please Tell Me,5;7;5;5;3;5;4;7;3,open_review;review_7_0;44009:::close_modal;close;48519:::open_review;review_6_0;55523:::close_modal;close;57345:::open_review;review_6_1;58335:::close_modal;close;59166:::open_descr;descr_4;62606:::close_modal;close;67819:::open_descr;descr_6;89585:::close_modal;close;90620:::select;row_6;91543:::confirm;row_6;93024,select;row_4;7208:::confirm;row_4;8369,2,choice_2,10,3,7,10,271,,Court of Ravens and Ruin,3,7,29
2024-03-03 11:21:36,2024-03-03 11:25:37,IP Address,107.131.145.149,100,240,True,2024-03-03 11:25:38,R_1g2xenNl34Hzve3,,,,,41.4946,-90.5675,anonymous,EN,0.8999999761581421,,0,0,,I agree to participate in the research,5dfe8e7bdc8535b21b18ea2f,4 or more,2,5,4,1,3,0,0,8.018,0,7.378,7.378,10.935,1,0,0,6.145,0,5.176,5.176,9.625,1,2,The e-book that you would be most likely to buy in an online bookstore if you were presented with this selection of e-books outside this study,,,12.059,40.723,40.737,8,3.04,6.604,6.618,3,Just enough information to make an informed choice,4,8,1,6,1,All clear and I love the authors I chose.,5dfe8e7bdc8535b21b18ea2f,65e49a065fc5ee66991f46a3,65e4a38a8d58b05bcee47a41,4,The Housemaid,4,7,6,9,The Inmate,6,1,4,46;9;21;3;45;29;47;4;8;23,Don’t Believe Everything You Think;The Inmate;The Serpent & The Wings of Night;Please Tell Me;Dopamine Detox;Court of Ravens and Ruin;The Art of Letting Go;The Housemaid;The Ritual;The Ashes & The Star Cursed King,5;6;7;5;7;3;7;4;7;3,46;9;21;3;45;29;47;8;23,Don’t Believe Everything You Think;The Inmate;The Serpent & The Wings of Night;Please Tell Me;Dopamine Detox;Court of Ravens and Ruin;The Art of Letting Go;The Ritual;The Ashes & The Star Cursed King,5;6;7;5;7;3;7;7;3,select;row_7;14811:::select;row_1;36290:::select;row_7;40642:::confirm;row_7;41770,select;row_1;4608:::confirm;row_1;6619,4,nothing,10,3,7,10,240,,,,,
2024-03-03 11:20:16,2024-03-03 11:26:19,IP Address,174.174.164.250,100,363,True,2024-03-03 11:26:20,R_6MSytOSFZiRPBCH,,,,,42.9813,-83.7349,anonymous,EN,0.8999999761581421,,0,0,,I agree to participate in the research,60ff0b57292f57c9d3829afd,1,2,3,1,4,5,0,0,8.202,0,8.577,8.577,9.085,1,2.921,2.921,3.925,1,0,0,5.235,0,2,The e-book that you would be most likely to buy in an online bookstore if you were presented with this selection of e-books outside this study,,,6.232,219.992,220.008,40,5.217,5.751,5.764,2,Just enough information to make an informed choice,1,3,6,10,6,,60ff0b57292f57c9d3829afd,65e49a065fc5ee66991f46a3,65e4a33bef0d925bec9b27bf,4,The Housemaid,4,6,6,9,The Inmate,4,2,6,21;29;9;8;45;3;4;23;46;47,The Serpent & The Wings of Night;Court of Ravens and Ruin;The Inmate;The Ritual;Dopamine Detox;Please Tell Me;The Housemaid;The Ashes & The Star Cursed King;Don’t Believe Everything You Think;The Art of Letting Go,3;6;4;5;5;6;4;5;4;4,21;29;9;8;45;3;23;46;47,The Serpent & The Wings of Night;Court of Ravens and Ruin;The Inmate;The Ritual;Dopamine Detox;Please Tell Me;The Ashes & The Star Cursed King;Don’t Believe Everything You Think;The Art of Letting Go,3;6;4;5;5;6;5;4;4,open_descr;descr_0;8138:::close_modal;close;15686:::open_descr;descr_3;36170:::close_modal;close;41620:::open_descr;descr_6;57304:::close_modal;close;62671:::select;row_7;70186:::select;row_6;73339:::open_descr;descr_6;74759:::close_modal;close;75988:::open_review;review_0_0;81319:::close_modal;close;85002:::open_review;review_6_0;87753:::close_modal;close;98253:::open_review;review_6_1;99572:::close_modal;close;110019:::open_review;review_6_2;110958:::close_modal;close;114174:::open_review;review_0_0;117952:::close_modal;close;119189:::open_review;review_0_1;119921:::close_modal;close;129234:::open_review;review_1_0;130818:::close_modal;close;144556:::open_review;review_1_1;145303:::close_modal;close;155469:::open_review;review_1_2;156354:::close_modal;close;160038:::open_review;review_1_3;160923:::close_modal;close;167724:::open_review;review_1_3;170304:::close_modal;close;172154:::open_review;review_2_0;173418:::close_modal;close;180803:::open_review;review_2_1;181736:::close_modal;close;184104:::open_review;review_2_2;184935:::close_modal;close;200673:::confirm;row_6;220503,select;row_2;5225:::confirm;row_2;5759,1,choice_1,10,3,7,10,363,,The Housemaid,4,6,4
2024-03-03 11:28:17,2024-03-03 11:33:18,IP Address,136.36.117.159,100,301,True,2024-03-03 11:33:19,R_7YroHUdRzoUOfNY,,,,,40.7037,-111.8094,anonymous,EN,1,,0,0,,I agree to participate in the research,65e3a4f965dc8c3aeca364ea,1,4,5,1,2,3,0,0,4.032,0,0,0,14.422,0,0,0,7.53,0,0,0,12.44,0,2,The e-book that you would be most likely to buy in an online bookstore if you were presented with this selection of e-books outside this study,,,35.644,67.548,67.554,13,21.073,30.915,30.923,6,Just enough information to make an informed choice,9,6,2,3,5,No,65e3a4f965dc8c3aeca364ea,65e49a065fc5ee66991f46a3,65e4a51aee1fbf1361a27ea5,45,Dopamine Detox,7,1,3,46,Don’t Believe Everything You Think,3,4,7,3;45;4;29;21;46;47;9;8;23,Please Tell Me;Dopamine Detox;The Housemaid;Court of Ravens and Ruin;The Serpent & The Wings of Night;Don’t Believe Everything You Think;The Art of Letting Go;The Inmate;The Ritual;The Ashes & The Star Cursed King,6;7;6;4;6;3;7;5;7;3,3;4;29;21;46;47;9;8;23,Please Tell Me;The Housemaid;Court of Ravens and Ruin;The Serpent & The Wings of Night;Don’t Believe Everything You Think;The Art of Letting Go;The Inmate;The Ritual;The Ashes & The Star Cursed King,6;6;4;6;3;7;5;7;3,open_review;review_1_0;37573:::close_modal;close;47832:::open_review;review_1_1;48857:::close_modal;close;52459:::open_review;review_1_2;53281:::close_modal;close;57801:::open_review;review_1_4;58825:::close_modal;close;61634:::open_review;review_1_3;62356:::close_modal;close;63467:::select;row_1;67881:::confirm;row_1;69477,open_review;review_4_0;21081:::close_modal;close;25393:::open_review;review_4_1;26132:::close_modal;close;28764:::select;row_4;29597:::confirm;row_4;30924,3,nothing,10,3,7,10,301,,,,,
2024-03-03 11:28:45,2024-03-03 11:34:10,IP Address,75.223.229.134,100,324,True,2024-03-03 11:34:10,R_3Q5BpsbB1yidSWE,,,,,34.032,-118.2442,anonymous,EN,0.8999999761581421,,0,0,,I agree to participate in the research,655ff23ac20e0befdda42baf,3,2,5,3,1,4,0,0,12.725,0,11.772,15.57,18.351,5,1.472,1.472,8.388,1,0,0,10.889,0,2,The e-book that you would be most likely to buy in an online bookstore if you were presented with this selection of e-books outside this study,,,9.85,101.388,101.395,30,5.719,43.354,43.359,17,Just enough information to make an informed choice,6,9,2,10,8,,655ff23ac20e0befdda42baf,65e49a065fc5ee66991f46a3,65e4a534be9b3ff04e96b83f,9,The Inmate,4,9,6,8,The Ritual,7,3,3,46;4;21;8;23;47;29;3;45;9,Don’t Believe Everything You Think;The Housemaid;The Serpent & The Wings of Night;The Ritual;The Ashes & The Star Cursed King;The Art of Letting Go;Court of Ravens and Ruin;Please Tell Me;Dopamine Detox;The Inmate,3;4;5;7;7;4;4;6;3;4,46;4;21;8;23;47;29;3;45,Don’t Believe Everything You Think;The Housemaid;The Serpent & The Wings of Night;The Ritual;The Ashes & The Star Cursed King;The Art of Letting Go;Court of Ravens and Ruin;Please Tell Me;Dopamine Detox,3;4;5;7;7;4;4;6;3,open_descr;descr_3;24358:::close_modal;close;29503:::open_review;review_3_0;30356:::close_modal;close;33567:::open_review;review_3_1;34317:::close_modal;close;37418:::select;row_3;38752:::open_descr;descr_9;53418:::close_modal;close;57364:::open_review;review_9_0;60256:::close_modal;close;65013:::open_review;review_9_1;65780:::close_modal;close;66925:::open_review;review_9_2;67704:::close_modal;close;69620:::open_descr;descr_8;73120:::close_modal;close;74642:::open_review;review_8_2;76038:::close_modal;close;77403:::open_descr;descr_7;79795:::close_modal;close;80979:::open_review;review_7_2;81792:::close_modal;close;83737:::select;row_9;86796:::confirm;row_9;101774,open_descr;descr_3;5731:::close_modal;close;7208:::open_review;review_3_1;7816:::close_modal;close;8866:::open_review;review_3_4;9418:::close_modal;close;10388:::select;row_3;11077:::open_descr;descr_7;29993:::close_modal;close;31302:::open_review;review_7_0;32122:::close_modal;close;35912:::open_review;review_7_3;36537:::close_modal;close;37696:::select;row_7;38583:::select;row_3;42785:::confirm;row_3;43365,3,nothing,10,3,7,10,324,,,,,
2024-03-03 11:24:43,2024-03-03 11:34:34,IP Address,107.5.170.225,100,591,True,2024-03-03 11:34:35,R_1PgPJSq2Lfkpfw0,,,,,42.9133,-85.8145,anonymous,EN,1,,0,0,,I agree to participate in the research,5eb6e12a2541f25eb790569a,1,1,3,5,4,2,0,0,11.157,0,27.737,29.939,31.521,2,9.001,9.001,11.24,1,0,0,11.239,0,2,The e-book that you would be most likely to buy in an online bookstore if you were presented with this selection of e-books outside this study,,,83.686,244.871,244.877,17,18.393,71.941,71.947,4,Just enough information to make an informed choice,2,8,4,8,3,,5eb6e12a2541f25eb790569a,65e49a065fc5ee66991f46a3,65e4a44426438fd6dc97e372,9,The Inmate,6,9,4,3,Please Tell Me,7,1,3,8;3;45;46;23;4;47;21;29;9,The Ritual;Please Tell Me;Dopamine Detox;Don’t Believe Everything You Think;The Ashes & The Star Cursed King;The Housemaid;The Art of Letting Go;The Serpent & The Wings of Night;Court of Ravens and Ruin;The Inmate,4;7;7;7;4;4;4;4;6;6,8;3;45;46;23;4;47;21;29,The Ritual;Please Tell Me;Dopamine Detox;Don’t Believe Everything You Think;The Ashes & The Star Cursed King;The Housemaid;The Art of Letting Go;The Serpent & The Wings of Night;Court of Ravens and Ruin,4;7;7;7;4;4;4;4;6,open_descr;descr_9;84501:::close_modal;close;101713:::open_descr;descr_5;107526:::close_modal;close;134746:::open_descr;descr_1;141416:::close_modal;close;174822:::open_review;review_1_0;183865:::close_modal;close;189277:::open_review;review_1_1;190677:::close_modal;close;200794:::open_review;review_5_0;208323:::close_modal;close;219900:::open_review;review_9_0;229756:::close_modal;close;237848:::select;row_9;243175:::confirm;row_9;245687,open_descr;descr_5;18401:::close_modal;close;25381:::select;row_1;70373:::confirm;row_1;71950,2,choice_2,10,3,7,10,591,,Please Tell Me,7,3,3
2024-03-03 11:33:21,2024-03-03 11:35:41,IP Address,97.81.214.195,100,139,True,2024-03-03 11:35:41,R_6kZB6s58JzDwCYh,,,,,34.895,-81.9204,anonymous,EN,1,,0,0,,I agree to participate in the research,604d5772ee67e298e25c198b,4 or more,1,3,4,2,5,0,0,5.397,0,0,0,5.336,0,0,0,2.699,0,0,0,5.188,0,2,The e-book that you would be most likely to buy in an online bookstore if you were presented with this selection of e-books outside this study,,,23.087,24.36,24.367,2,17.55,18.304,18.31,2,Just enough information to make an informed choice,3,9,5,6,1,,604d5772ee67e298e25c198b,65e49a065fc5ee66991f46a3,65e4a64db5fa3ca93951037f,4,The Housemaid,7,1,3,3,Please Tell Me,4,8,6,46;4;8;29;23;45;21;47;9;3,Don’t Believe Everything You Think;The Housemaid;The Ritual;Court of Ravens and Ruin;The Ashes & The Star Cursed King;Dopamine Detox;The Serpent & The Wings of Night;The Art of Letting Go;The Inmate;Please Tell Me,3;7;7;6;7;3;7;6;3;4,46;8;29;23;45;21;47;9;3,Don’t Believe Everything You Think;The Ritual;Court of Ravens and Ruin;The Ashes & The Star Cursed King;Dopamine Detox;The Serpent & The Wings of Night;The Art of Letting Go;The Inmate;Please Tell Me,3;7;6;7;3;7;6;3;4,select;row_1;23458:::confirm;row_1;24730,select;row_8;17560:::confirm;row_8;18314,3,nothing,10,3,7,10,139,,,,,
2024-03-03 11:31:53,2024-03-03 11:35:54,IP Address,73.189.178.241,100,241,True,2024-03-03 11:35:54,R_6KvGcG8R44zSfm2,,,,,37.3372,-121.798,anonymous,EN,1,,0,0,,I agree to participate in the research,6518707116415d421f5638b6,2,5,1,3,4,2,0,0,34.385,0,0,0,3.76,0,0,0,7.625,0,0,0,5.258,0,2,The e-book that you would be most likely to buy in an online bookstore if you were presented with this selection of e-books outside this study,,,3.749,25.256,25.262,14,2.017,6.597,6.602,3,Just enough information to make an informed choice,6,7,5,10,6,N/A,6518707116415d421f5638b6,65e49a065fc5ee66991f46a3,65e4a5f361e4d73baa564101,46,Don’t Believe Everything You Think,6,7,4,47,The Art of Letting Go,7,3,3,3;8;29;47;45;9;4;46;23;21,Please Tell Me;The Ritual;Court of Ravens and Ruin;The Art of Letting Go;Dopamine Detox;The Inmate;The Housemaid;Don’t Believe Everything You Think;The Ashes & The Star Cursed King;The Serpent & The Wings of Night,7;6;4;7;4;3;5;6;6;3,3;8;29;47;45;9;4;23;21,Please Tell Me;The Ritual;Court of Ravens and Ruin;The Art of Letting Go;Dopamine Detox;The Inmate;The Housemaid;The Ashes & The Star Cursed King;The Serpent & The Wings of Night,7;6;4;7;4;3;5;6;3,open_review;review_0_0;4147:::close_modal;close;5460:::open_review;review_0_1;5944:::close_modal;close;6530:::open_review;review_0_2;7194:::close_modal;close;7890:::open_review;review_0_3;8437:::close_modal;close;9094:::open_review;review_0_4;9665:::close_modal;close;10258:::select;row_1;16635:::select;row_7;22599:::confirm;row_7;25655,select;row_1;2034:::select;row_3;5090:::confirm;row_3;6614,1,choice_1,10,3,7,10,241,,Don’t Believe Everything You Think,6,4,46
