Model,First Choice LL,AIC,Coefficient Names,Estimated Coefficients,Standard Errors,Likelihood Ratio Test,Embedding_Model,Data_Type,Category_Code,AIC_min,Delta,ExpDelta,Akaike_Weight,cat_code4,category1,category2,category3,category4,num_transactions,num_products,mean_price,overall_numprod,overall_purch,batch
plain logit,-504.0037642502007,1024.007528500401,"['product_id_1' 'product_id_2' 'product_id_3' 'product_id_4'
 'product_id_5' 'product_id_6' 'product_id_7' 'price']","[-5.51031026e-02 -1.51534604e-01  1.30942466e+00 -1.36471256e-01
 -5.57075859e-02  1.67771970e+00 -4.48225828e-02  6.36133999e-04]","[0.32097434 0.33100893 0.25718114 0.34591337 0.4706124  0.2724499
 0.3787557  0.00206059]",0.0,combined,logit,17050306,1006.638129277599,17.369399222801917,0.00016915423748666271,5.705394629328505e-06,17050306,Home & Kitchen,Furniture,Bedroom Furniture,Mattresses & Box Springs,376.0,15.0,202.8076629638672,75.0,2425.0,8.0
plain logit with PCs,-504.0037642502007,1024.007528500401,"['product_id_1' 'product_id_2' 'product_id_3' 'product_id_4' 'price'
 'combined_pc1' 'combined_pc2' 'combined_pc3']","[-1.95215515e+00 -1.13467552e+00  9.56708991e-01  1.01420950e+00
  6.36133999e-04  6.40632446e-01  7.30663263e-01 -2.80263845e-01]","[0.32707936 0.33775086 0.49930378 0.69949133 0.00206059 0.16123284
 0.17466894 0.24528829]",1.0,combined,logit,17050306,1006.638129277599,17.369399222801917,0.00016915423748666271,5.705394629328505e-06,17050306,Home & Kitchen,Furniture,Bedroom Furniture,Mattresses & Box Springs,376.0,15.0,202.8076629638672,75.0,2425.0,8.0
price,-498.4363843143562,1014.872768628712,"['product_id_1' 'product_id_2' 'product_id_3' 'product_id_4' 'price'
 'combined_pc1' 'combined_pc2' 'combined_pc3' 'sd.price']","[-3.1734808  -1.83319115  3.86358292  0.99986635 -0.00961485 -0.01822418
  2.3930642   0.03168339  0.02498496]","[0.57235361 0.42363605 1.1426759  0.76827855 0.00459796 0.27421282
 0.6296798  0.27666882 0.00708474]",0.0008472489770473991,combined,combined,17050306,1006.638129277599,8.23463935111306,0.016288113414675332,0.0005493809447446415,17050306,Home & Kitchen,Furniture,Bedroom Furniture,Mattresses & Box Springs,376.0,15.0,202.8076629638672,75.0,2425.0,8.0
PC1,-500.4334380347136,1018.866876069427,"['product_id_1' 'product_id_2' 'product_id_3' 'product_id_4' 'price'
 'combined_pc1' 'combined_pc2' 'combined_pc3' 'sd.combined_pc1']","[-6.67970897e-01  2.12252590e+00  7.40389549e+00  8.72684655e-01
 -4.90138519e-04  5.50100083e+00  2.76422076e+00 -9.30189830e-01
  1.03013841e+01]","[1.23256634e+00 2.86304235e+00 6.49526575e+00 9.33640636e-01
 3.10842156e-03 5.34713114e+00 2.24108259e+00 8.91961146e-01
 1.03193883e+01]",0.00753557380486717,combined,combined,17050306,1006.638129277599,12.22874679182803,0.0022108606698075664,7.45700065167346e-05,17050306,Home & Kitchen,Furniture,Bedroom Furniture,Mattresses & Box Springs,376.0,15.0,202.8076629638672,75.0,2425.0,8.0
PC2,-501.9469607813235,1021.893921562647,"['product_id_1' 'product_id_2' 'product_id_3' 'product_id_4' 'price'
 'combined_pc1' 'combined_pc2' 'combined_pc3' 'sd.combined_pc2']","[-3.87628198e+00 -1.76589210e+00  1.31312326e+00  1.50066892e+00
  7.01753404e-04  2.77607403e-01  1.41717903e+00 -4.58446372e-01
  2.05803022e+00]","[2.75219534e+00 9.11342804e-01 7.90321710e-01 1.04733203e+00
 2.63289937e-03 5.05440495e-01 1.02113263e+00 3.70107838e-01
 2.31381818e+00]",0.04253954571699795,combined,combined,17050306,1006.638129277599,15.255792285048074,0.0004866836951421426,1.6415329475057742e-05,17050306,Home & Kitchen,Furniture,Bedroom Furniture,Mattresses & Box Springs,376.0,15.0,202.8076629638672,75.0,2425.0,8.0
PC3,-498.9683779137526,1015.936755827505,"['product_id_1' 'product_id_2' 'product_id_3' 'product_id_4' 'price'
 'combined_pc1' 'combined_pc2' 'combined_pc3' 'sd.combined_pc3']","[-1.28721174e+01 -7.63519035e+00  1.00873731e+01 -3.31907286e+01
  3.10537211e-03 -7.18482290e-01  6.31818224e+00  5.29424713e+00
 -1.10490717e+01]","[1.22837217e+01 7.42514586e+00 1.04311020e+01 3.61156473e+01
 4.13178913e-03 1.60432941e+00 6.29847065e+00 6.24746373e+00
 1.10174366e+01]",0.001506398454152904,combined,combined,17050306,1006.638129277599,9.298626549905975,0.00956817037717905,0.0003227243295442818,17050306,Home & Kitchen,Furniture,Bedroom Furniture,Mattresses & Box Springs,376.0,15.0,202.8076629638672,75.0,2425.0,8.0
price and PC1,-494.5589700040886,1009.117940008177,"['product_id_1' 'product_id_2' 'product_id_3' 'product_id_4' 'price'
 'combined_pc1' 'combined_pc2' 'combined_pc3' 'sd.price' 'sd.combined_pc1']","[-3.70721957 -1.4070321   6.36793011  0.67577538 -0.01398556  0.49373094
  3.42928377  0.20023151  0.03480288  2.13480559]","[0.80510098 0.71368161 2.3204759  0.97975426 0.00650605 0.76401985
 1.07649592 0.37360578 0.01096639 1.55918358]",1.385065459701155e-05,combined,combined,17050306,1006.638129277599,2.4798107305780377,0.28941160502674196,0.009761549231748384,17050306,Home & Kitchen,Furniture,Bedroom Furniture,Mattresses & Box Springs,376.0,15.0,202.8076629638672,75.0,2425.0,8.0
price and PC2,-496.6774677514643,1013.354935502929,"['product_id_1' 'product_id_2' 'product_id_3' 'product_id_4' 'price'
 'combined_pc1' 'combined_pc2' 'combined_pc3' 'sd.price' 'sd.combined_pc2']","[-4.19445732 -2.2231513   4.51442404  1.20434469 -0.01138544 -0.26253694
  3.00871245  0.02324329  0.02979122 -1.0567807 ]","[1.30696772 0.62320626 1.38106385 0.83425678 0.00537008 0.37140987
 0.90766315 0.29890082 0.00893767 0.88596554]",0.0001292566991684718,combined,combined,17050306,1006.638129277599,6.71680622533006,0.03479077155171716,0.0011734561552264558,17050306,Home & Kitchen,Furniture,Bedroom Furniture,Mattresses & Box Springs,376.0,15.0,202.8076629638672,75.0,2425.0,8.0
price and PC3,-496.975374278688,1013.950748557376,"['product_id_1' 'product_id_2' 'product_id_3' 'product_id_4' 'price'
 'combined_pc1' 'combined_pc2' 'combined_pc3' 'sd.price' 'sd.combined_pc3']","[-4.70842554 -2.63671598  5.44905039 -2.62386856 -0.01097085 -0.24175394
  3.37889315  0.69618405  0.03351289 -1.64309093]","[1.43726355 0.86965729 1.94066252 3.5423295  0.00596676 0.38463108
 1.10547805 0.6866311  0.01026422 1.08763979]",0.000177373226353907,combined,combined,17050306,1006.638129277599,7.312619279776982,0.025827650403066425,0.0008711395001821814,17050306,Home & Kitchen,Furniture,Bedroom Furniture,Mattresses & Box Springs,376.0,15.0,202.8076629638672,75.0,2425.0,8.0
PC1 and PC2,-497.1819251062536,1014.363850212507,"['product_id_1' 'product_id_2' 'product_id_3' 'product_id_4' 'price'
 'combined_pc1' 'combined_pc2' 'combined_pc3' 'sd.combined_pc1'
 'sd.combined_pc2']","[-5.99351527e+01 -1.76747020e+01  2.06085217e+01  2.07726468e+01
 -2.42738350e-02 -5.06747677e+00  2.43187610e+01 -6.94586880e+00
 -9.18713240e+00  4.61564991e+01]","[6.33946731e+01 1.81594197e+01 2.03560088e+01 2.30323567e+01
 2.46827638e-02 5.63886175e+00 2.54770715e+01 7.70610999e+00
 9.58485782e+00 4.88635521e+01]",0.0002209840923870791,combined,combined,17050306,1006.638129277599,7.725720934908054,0.021007821306032792,0.0007085717309492934,17050306,Home & Kitchen,Furniture,Bedroom Furniture,Mattresses & Box Springs,376.0,15.0,202.8076629638672,75.0,2425.0,8.0
PC1 and PC3,-498.9683779137526,1015.936755827505,"['product_id_1' 'product_id_2' 'product_id_3' 'product_id_4' 'price'
 'combined_pc1' 'combined_pc2' 'combined_pc3' 'sd.combined_pc1'
 'sd.combined_pc3']","[-1.28721174e+01 -7.63519035e+00  1.00873731e+01 -3.31907286e+01
  3.10537211e-03 -7.18482290e-01  6.31818224e+00  5.29424713e+00
 -1.10490717e+01  0.00000000e+00]","[1.54705515e+00 2.06306520e+00 7.14724894e+00 2.99957915e+00
 4.41208191e-03 4.66147553e+00 2.62242962e+00 6.64827823e-01
 9.85091685e+00 2.09130883e+00]",0.001506398454152904,combined,combined,17050306,1006.638129277599,9.298626549905975,0.00956817037717905,0.0003227243295442818,17050306,Home & Kitchen,Furniture,Bedroom Furniture,Mattresses & Box Springs,376.0,15.0,202.8076629638672,75.0,2425.0,8.0
PC2 and PC3,-498.9683779137526,1015.936755827505,"['product_id_1' 'product_id_2' 'product_id_3' 'product_id_4' 'price'
 'combined_pc1' 'combined_pc2' 'combined_pc3' 'sd.combined_pc2'
 'sd.combined_pc3']","[-1.28721174e+01 -7.63519035e+00  1.00873731e+01 -3.31907286e+01
  3.10537211e-03 -7.18482290e-01  6.31818224e+00  5.29424713e+00
 -1.10490717e+01  0.00000000e+00]","[1.34043105e+01 3.94413904e+00 4.74348446e+00 6.31380483e+00
 5.81186453e-03 1.59341845e+00 5.65927711e+00 1.21321419e+00
 9.10402914e+00 2.85048859e+00]",0.001506398454152904,combined,combined,17050306,1006.638129277599,9.298626549905975,0.00956817037717905,0.0003227243295442818,17050306,Home & Kitchen,Furniture,Bedroom Furniture,Mattresses & Box Springs,376.0,15.0,202.8076629638672,75.0,2425.0,8.0
