,Model,Specifications,PCA Price Estimate,PCA Price SE,PCA Price Std Estimate,PCA Price Std SE,Plain Logit Price Estimate,Plain Logit Price SE,PCA Average of diversion ratios to closest substitute,Plain Logit Average of diversion ratios to closest substitute,Attribute-Based PCA Average of diversion ratios to closest substitute,PCA AIC,Plain Logit AIC,Attribute-Based PCA AIC
10060201,vgg16_image,"price, PC3, PC4, PC5, and PC6",-0.0415823,0.02151077,0.14457265,0.02939021,0.00514739,0.0136989,0.25930890828867376,0.14406547688334112,,5636.919126143432,5662.054257488885,
10060207,user_reviews_USE_text,"PC3, PC4, and PC6",-0.15920272,0.0425815,n/a,n/a,-0.08488727,0.02667445,0.3371491362744901,0.21258620374385176,,4633.907235799536,4645.789254434091,
10060215,title_TFIDF_text,"price, PC1, PC2, PC3, PC4, PC5, and PC6",0.0266517738,0.02472734,0.00983200611,0.05822391,-0.00378934,0.01093908,0.5629970877997259,0.10816595970558544,,3904.639099476929,3920.9854643427766,
10110210,inceptionv3_image,"PC1, PC2, PC4, and PC5",-0.09970223,0.0413149,n/a,n/a,-0.0581194,0.02613179,0.422337139870227,0.09709076467114183,,2961.197019211706,2974.304223638036,
10110218,title_USE_text,"PC2, PC4, PC5, and PC6",-0.13835113,0.06461257,n/a,n/a,-0.06039798,0.0293268,0.39430255372849904,0.08988252669579008,,1808.5672599883487,1820.844940632848,
13010204,user_reviews_TFIDF_text,"price, PC1, PC4, and PC6",0.01855284,0.022505,0.0474881,0.04572909,0.0237193,0.01510162,0.34511873620947425,0.14458010875443134,,3417.1798969697466,3433.845624617219,
13060104,description_COUNT_text,"price, PC1, PC2, PC4, PC5, and PC6",-0.08908153,0.0674868,-0.02830259,0.03600251,-0.02185466,0.03514928,0.35363085456868537,0.16371703346601077,,3838.9950832113473,3858.5480774431885,
13060112,description_ST_text,"price, PC3, PC4, PC5, and PC6",-0.12512724,0.03710228,-0.11411386,0.04041226,-0.05477025,0.01775243,0.3848257579917393,0.184473532713385,,3351.5559386275054,3371.034845494608,
13060114,vgg16_image,price and PC3,-0.84242103,0.21038895,0.13175523,0.06366505,-0.25856813,0.02674978,0.8169220640117761,0.4833268550625272,0.8089272602039873,2685.0908949788177,2781.9248398130067,2709.2928736380654
13060404,description_ST_text,"PC1, PC2, PC3, PC4, and PC6",-0.10521059,0.01054094,n/a,n/a,-0.03031481,0.00207316,0.5104985106426879,0.32809810158317754,0.5525644890667614,4236.599804794345,4348.143165555939,4293.249867799919
13060701,resnet50_image,"price, PC1, PC2, PC3, PC4, and PC6",-0.69508979,1.39739122,0.72902042,1.46160494,-0.02699908,0.00812529,0.4364379649765301,0.23741982096875264,0.4223498740633519,1366.3614207552475,1388.7663522326216,1376.4303542369253
13110101,vgg19_image,PC1 and PC3,-0.0116397,0.00217377,n/a,n/a,-0.00927118,0.00191333,0.2600848468896604,0.19890274168137037,0.2023683261708013,9875.799014397162,9886.473170361929,9881.96242793735
13181001,vgg19_image,PC1 and PC5,-0.16234588,0.01496238,n/a,n/a,-0.03262715,0.00437521,0.6003185426994728,0.36584173295346345,,8959.520061744734,9049.735744607733,
14020210,title_USE_text,"price, PC1, PC3, PC4, PC5, and PC6",0.0207727361,0.14362255,-0.765636534,0.4508529,0.02190875,0.02388509,0.4761089508345914,0.28648001473628865,,2317.1121381076287,2336.2084080473996,
14020605,description_TFIDF_text,PC1 and PC6,-0.0123867847,0.01324911,n/a,n/a,0.000332038144,0.00978455,0.4706621422375487,0.15220450712095893,,5276.454818953836,5285.922075103023,
