Category_Label_Short,images,titles,descriptions,reviews
Electronics Keyboards,0.004,0.008,0.978,0.01
Electronics Cables,0.007992007992007994,0.016983016983016987,0.1098901098901099,0.8651348651348653
Groceries Water,0.009009009009009007,0.6856856856856857,0.29429429429429427,0.01101101101101101
Pet Dog Treats,0.009990009990009988,0.927072927072927,0.02797202797202797,0.03496503496503497
Household Paper Towels,0.01098901098901099,0.8941058941058942,0.08591408591408592,0.008991008991008992
Clothing Shirts,0.014,0.383,0.005,0.598
Electronics Accessories,0.016983016983016987,0.016983016983016987,0.9620379620379621,0.003996003996003997
Office Paper,0.029029029029029034,0.2992992992992993,0.08208208208208209,0.5895895895895896
Video Games PS4,0.031031031031031032,0.015015015015015015,0.9539539539539539,0.0
Video Games Nintendo,0.04,0.099,0.793,0.068
Bedroom Mattresses,0.065,0.018,0.14,0.777
Pet Cat Litter,0.06906906906906908,0.7717717717717718,0.0970970970970971,0.062062062062062065
Office Printer Supplies,0.074,0.635,0.25,0.041
Office Folders,0.08200000000000002,0.23700000000000002,0.5790000000000001,0.10200000000000001
Groceries Chips,0.102,0.118,0.458,0.322
Household Aromatherapy,0.10889110889110891,0.23576423576423577,0.6393606393606395,0.015984015984015987
Electronics Tablets,0.109,0.0,0.891,0.0
Clothing Tops & Blouses,0.12687312687312688,0.7342657342657344,0.1158841158841159,0.02297702297702298
Clothing Underwear,0.173,0.777,0.029,0.021
Groceries Coffee,0.258,0.011,0.507,0.224
Pet Cat Snacks,0.276,0.011,0.051,0.662
Household Trash Bags,0.2952952952952953,0.2802802802802803,0.32432432432432434,0.1001001001001001
Video Games PC,0.312,0.343,0.208,0.137
Game Consoles Nintendo,0.386,0.183,0.121,0.31
Pet Cat Food,0.4040000000000001,0.09800000000000002,0.42100000000000004,0.07700000000000001
Bedroom Beds,0.41600000000000004,0.017000000000000005,0.5040000000000001,0.06300000000000001
Household Batteries,0.423,0.39,0.084,0.103
Electronics Monitors,0.4614614614614615,0.1701701701701702,0.17417417417417416,0.1941941941941942
Kitchen Food Storage,0.51,0.001,0.006,0.483
Office Pens,0.588,0.018,0.022,0.372
Groceries Tea,0.612,0.22,0.047,0.121
Electronics Headphones,0.7070000000000001,0.14300000000000002,0.07100000000000001,0.07900000000000001
Pet Dog Food,0.7112887112887113,0.09490509490509491,0.058941058941058944,0.13486513486513488
Office Markers,0.769,0.025,0.118,0.088
Clothing Sleep,0.8201798201798203,0.04595404595404596,0.05594405594405595,0.07792207792207793
Home Sheets & Pillowcases,0.877,0.014,0.016,0.093
Electronics Memory Cards,0.908,0.003,0.089,0.0
Clothing Active,0.931,0.019,0.017,0.033
Video Games Xbox,0.998,0.0,0.0,0.002
Electronics Media Players,1.0,0.0,0.0,0.0
