Category_Code,Data_Type,Total_Akaike_Weight,category1,category2,category3,category4,num_transactions,mean_price
10060201,combined,0.002,"Clothing, Shoes & Jewelry",Men,Clothing,Active,1078.0,13.96172046661377
10060201,descriptions,0.538,"Clothing, Shoes & Jewelry",Men,Clothing,Active,1078.0,13.96172046661377
10060201,images,0.019,"Clothing, Shoes & Jewelry",Men,Clothing,Active,1078.0,13.96172046661377
10060201,logit,0.000,"Clothing, Shoes & Jewelry",Men,Clothing,Active,1078.0,13.96172046661377
10060201,reviews,0.421,"Clothing, Shoes & Jewelry",Men,Clothing,Active,1078.0,13.96172046661377
10060201,titles,0.020,"Clothing, Shoes & Jewelry",Men,Clothing,Active,1078.0,13.96172046661377
10060207,combined,0.025,"Clothing, Shoes & Jewelry",Men,Clothing,Shirts,913.0,13.251250267028809
10060207,descriptions,0.016,"Clothing, Shoes & Jewelry",Men,Clothing,Shirts,913.0,13.251250267028809
10060207,images,0.043,"Clothing, Shoes & Jewelry",Men,Clothing,Shirts,913.0,13.251250267028809
10060207,logit,0.000,"Clothing, Shoes & Jewelry",Men,Clothing,Shirts,913.0,13.251250267028809
10060207,reviews,0.799,"Clothing, Shoes & Jewelry",Men,Clothing,Shirts,913.0,13.251250267028809
10060207,titles,0.116,"Clothing, Shoes & Jewelry",Men,Clothing,Shirts,913.0,13.251250267028809
10060215,combined,0.014,"Clothing, Shoes & Jewelry",Men,Clothing,Underwear,732.0,16.73166275024414
10060215,descriptions,0.042,"Clothing, Shoes & Jewelry",Men,Clothing,Underwear,732.0,16.73166275024414
10060215,images,0.189,"Clothing, Shoes & Jewelry",Men,Clothing,Underwear,732.0,16.73166275024414
10060215,logit,0.000,"Clothing, Shoes & Jewelry",Men,Clothing,Underwear,732.0,16.73166275024414
10060215,reviews,0.700,"Clothing, Shoes & Jewelry",Men,Clothing,Underwear,732.0,16.73166275024414
10060215,titles,0.054,"Clothing, Shoes & Jewelry",Men,Clothing,Underwear,732.0,16.73166275024414
10110210,combined,0.002,"Clothing, Shoes & Jewelry",Women,Clothing,"Lingerie, Sleep & Lounge",552.0,15.022048950195312
10110210,descriptions,0.199,"Clothing, Shoes & Jewelry",Women,Clothing,"Lingerie, Sleep & Lounge",552.0,15.022048950195312
10110210,images,0.096,"Clothing, Shoes & Jewelry",Women,Clothing,"Lingerie, Sleep & Lounge",552.0,15.022048950195312
10110210,logit,0.000,"Clothing, Shoes & Jewelry",Women,Clothing,"Lingerie, Sleep & Lounge",552.0,15.022048950195312
