Category_Code,Data_Type,Total_Akaike_Weight,category1,category2,category3,category4,num_transactions,mean_price
10060201,descriptions,0.017,"Clothing, Shoes & Jewelry",Men,Clothing,Active,1078.0,13.96172046661377
10060201,images,0.931,"Clothing, Shoes & Jewelry",Men,Clothing,Active,1078.0,13.96172046661377
10060201,reviews,0.033,"Clothing, Shoes & Jewelry",Men,Clothing,Active,1078.0,13.96172046661377
10060201,titles,0.019,"Clothing, Shoes & Jewelry",Men,Clothing,Active,1078.0,13.96172046661377
10060207,descriptions,0.005,"Clothing, Shoes & Jewelry",Men,Clothing,Shirts,913.0,13.251250267028809
10060207,images,0.014,"Clothing, Shoes & Jewelry",Men,Clothing,Shirts,913.0,13.251250267028809
10060207,reviews,0.598,"Clothing, Shoes & Jewelry",Men,Clothing,Shirts,913.0,13.251250267028809
10060207,titles,0.383,"Clothing, Shoes & Jewelry",Men,Clothing,Shirts,913.0,13.251250267028809
10060215,descriptions,0.029,"Clothing, Shoes & Jewelry",Men,Clothing,Underwear,732.0,16.73166275024414
10060215,images,0.173,"Clothing, Shoes & Jewelry",Men,Clothing,Underwear,732.0,16.73166275024414
10060215,reviews,0.021,"Clothing, Shoes & Jewelry",Men,Clothing,Underwear,732.0,16.73166275024414
10060215,titles,0.777,"Clothing, Shoes & Jewelry",Men,Clothing,Underwear,732.0,16.73166275024414
10110210,descriptions,0.056,"Clothing, Shoes & Jewelry",Women,Clothing,"Lingerie, Sleep & Lounge",552.0,15.022048950195312
10110210,images,0.821,"Clothing, Shoes & Jewelry",Women,Clothing,"Lingerie, Sleep & Lounge",552.0,15.022048950195312
10110210,reviews,0.078,"Clothing, Shoes & Jewelry",Women,Clothing,"Lingerie, Sleep & Lounge",552.0,15.022048950195312
10110210,titles,0.046,"Clothing, Shoes & Jewelry",Women,Clothing,"Lingerie, Sleep & Lounge",552.0,15.022048950195312
10110218,descriptions,0.116,"Clothing, Shoes & Jewelry",Women,Clothing,"Tops, Tees & Blouses",333.0,20.28270149230957
10110218,images,0.127,"Clothing, Shoes & Jewelry",Women,Clothing,"Tops, Tees & Blouses",333.0,20.28270149230957
10110218,reviews,0.023,"Clothing, Shoes & Jewelry",Women,Clothing,"Tops, Tees & Blouses",333.0,20.28270149230957
10110218,titles,0.735,"Clothing, Shoes & Jewelry",Women,Clothing,"Tops, Tees & Blouses",333.0,20.28270149230957
13010204,descriptions,0.110,Electronics,Accessories & Supplies,Audio & Video Accessories,Cables & Interconnects,644.0,9.981947898864746
13010204,images,0.008,Electronics,Accessories & Supplies,Audio & Video Accessories,Cables & Interconnects,644.0,9.981947898864746
