Model,First Choice LL,AIC,Coefficient Names,Estimated Coefficients,Standard Errors,Likelihood Ratio Test,Embedding_Model,Data_Type,Category_Code,AIC_min,Delta,ExpDelta,Akaike_Weight,cat_code4,category1,category2,category3,category4,num_transactions,num_products,mean_price,overall_numprod,overall_purch,batch
plain logit,-3074.702361595526,6191.404723191052,"['product_id_1' 'product_id_10' 'product_id_11' 'product_id_12'
 'product_id_13' 'product_id_14' 'product_id_15' 'product_id_16'
 'product_id_17' 'product_id_18' 'product_id_19' 'product_id_2'
 'product_id_20' 'product_id_21' 'product_id_3' 'product_id_4'
 'product_id_5' 'product_id_6' 'product_id_7' 'product_id_8' 'price']","[-0.58019554 -0.20283309  0.63022985  0.80926509  0.11772354  2.2694969
 -0.51305067 -0.49951536 -0.33578329 -0.58964366 -0.85368417  1.22579173
 -0.64327904  0.15889368  0.05823781 -0.52195784 -0.03183182 -0.27694147
  0.58415508  1.5413025   0.00857433]","[0.36670237 0.26464865 0.66034969 0.40770366 0.26163141 0.42959929
 0.32418707 0.30720064 0.54438919 0.29908998 0.90966071 0.20422244
 0.30277737 0.28229085 0.24648585 0.33399305 0.28233269 0.29683244
 0.27504201 0.40033815 0.03237311]",0.0,combined,logit,16040408,6173.582272480431,17.822450710620615,0.000134866473347365,9.0937945513491e-06,16040408,Health & Household,Household Supplies,Household Batteries,AAA,1610.0,23.0,10.795845985412598,68.0,4055.0,7.0
plain logit with PCs,-3074.702361595526,6191.404723191052,"['product_id_1' 'product_id_10' 'product_id_11' 'product_id_12'
 'product_id_13' 'product_id_14' 'product_id_15' 'product_id_16'
 'product_id_17' 'product_id_18' 'product_id_19' 'product_id_2'
 'product_id_20' 'product_id_21' 'product_id_3' 'product_id_4'
 'product_id_5' 'price' 'combined_pc1' 'combined_pc2' 'combined_pc3']","[-0.58019554 -0.20283309  0.63022985  0.80926509  0.11772354  2.2694969
 -0.51305067 -0.49951536 -0.33578329 -0.58964366 -0.85368417  1.22579173
 -0.64327904  0.15889368  0.05823781 -0.52195784 -0.03183182 -0.27694147
  0.58415508  1.5413025   0.00857433]","[0.68839797 0.26786458 1.10468512 0.37436304 1.21843635 1.69711073
 1.17771824 1.05183521 3.451922   0.55016919 0.49356889 0.27487185
 1.68952263 1.9010896  0.25841941 0.34466481 0.70852422 0.03237311
 0.71058566 0.41977682 0.40675205]",1.0,combined,logit,16040408,6173.582272480431,17.822450710620615,0.000134866473347365,9.0937945513491e-06,16040408,Health & Household,Household Supplies,Household Batteries,AAA,1610.0,23.0,10.795845985412598,68.0,4055.0,7.0
price,-3071.626852957957,6187.253705915913,"['product_id_1' 'product_id_10' 'product_id_11' 'product_id_12'
 'product_id_13' 'product_id_14' 'product_id_15' 'product_id_16'
 'product_id_17' 'product_id_18' 'product_id_19' 'product_id_2'
 'product_id_20' 'product_id_21' 'product_id_3' 'product_id_4'
 'product_id_5' 'price' 'combined_pc1' 'combined_pc2' 'combined_pc3'
 'sd.price']","[ 2.601199   -0.03362824  4.83132716 -0.57406002  7.50718549 11.64130609
  6.29504036  5.63894157 19.01629891  1.78003855 -6.95792211  1.53953571
  9.46912614 11.54187195 -0.58843029  0.23150074  3.76159349 -0.0238592
  4.33993102  2.80429944  2.21242172 -0.10135049]","[0.78618701 0.26806791 1.12117757 0.40276385 1.26351113 1.7569006
 1.24517712 1.09867435 3.59670707 0.55607176 1.02623908 0.35163487
 1.72707975 1.96549934 0.33319484 0.42716285 0.74014542 0.03640851
 0.72476858 0.45957518 0.42407118 0.04319884]",0.01313365350835321,combined,combined,16040408,6173.582272480431,13.671433435481958,0.0010746967849066976,7.246479813975107e-05,16040408,Health & Household,Household Supplies,Household Batteries,AAA,1610.0,23.0,10.795845985412598,68.0,4055.0,7.0
PC1,-3069.86763188947,6183.735263778941,"['product_id_1' 'product_id_10' 'product_id_11' 'product_id_12'
 'product_id_13' 'product_id_14' 'product_id_15' 'product_id_16'
 'product_id_17' 'product_id_18' 'product_id_19' 'product_id_2'
 'product_id_20' 'product_id_21' 'product_id_3' 'product_id_4'
 'product_id_5' 'price' 'combined_pc1' 'combined_pc2' 'combined_pc3'
 'sd.combined_pc1']","[ 1.77727777 -0.07635284  3.83593726 -0.4148041   5.9154695   8.10762358
  4.91222681  4.4772516  13.73271227  1.4469224  -5.57442349  1.80978314
  7.24790258  8.17664148 -0.24430748 -0.08972017  3.07691862  0.01415042
  3.03474598  2.32648603  1.75186758 -1.02984743]","[0.70931597 0.27612958 1.16446467 0.51626235 1.36416452 2.54160681
 1.24246658 1.11191305 4.1443135  0.56236612 0.51142244 0.27844763
 1.97653907 2.54845984 0.25997144 0.38080589 0.73400488 0.03360837
 1.02146675 0.43151601 0.43967759 0.62700268]",0.0018735643346727,combined,combined,16040408,6173.582272480431,10.152991298509733,0.006241743995104684,0.00042086914653283565,16040408,Health & Household,Household Supplies,Household Batteries,AAA,1610.0,23.0,10.795845985412598,68.0,4055.0,7.0
PC2,-3070.568714688646,6185.137429377291,"['product_id_1' 'product_id_10' 'product_id_11' 'product_id_12'
 'product_id_13' 'product_id_14' 'product_id_15' 'product_id_16'
 'product_id_17' 'product_id_18' 'product_id_19' 'product_id_2'
 'product_id_20' 'product_id_21' 'product_id_3' 'product_id_4'
 'product_id_5' 'price' 'combined_pc1' 'combined_pc2' 'combined_pc3'
 'sd.combined_pc2']","[ 0.96440616 -0.14522316  2.30870187 -0.05671582  2.4862714   5.23030476
  2.12661864  1.83611609  6.47351814  1.08802289 -5.85548334  1.7114724
  3.26929648  4.06795609 -0.34690856 -1.1508401   1.84232595  0.01063453
  1.34245258  1.1256215   0.99544617  1.63390567]","[0.90394334 0.28543552 1.70333661 0.63529315 3.03846691 3.88186738
 2.4408743  2.27369811 7.55718505 0.63467318 0.52543992 0.28842817
 3.84952345 4.53941542 0.2702418  0.74197537 1.18234387 0.03507092
 1.87814511 0.95646938 0.74931936 0.86419133]",0.004036562882750189,combined,combined,16040408,6173.582272480431,11.555156896859444,0.003096203955175679,0.00020877125321518787,16040408,Health & Household,Household Supplies,Household Batteries,AAA,1610.0,23.0,10.795845985412598,68.0,4055.0,7.0
PC3,-3070.463863805277,6184.927727610553,"['product_id_1' 'product_id_10' 'product_id_11' 'product_id_12'
 'product_id_13' 'product_id_14' 'product_id_15' 'product_id_16'
 'product_id_17' 'product_id_18' 'product_id_19' 'product_id_2'
 'product_id_20' 'product_id_21' 'product_id_3' 'product_id_4'
 'product_id_5' 'price' 'combined_pc1' 'combined_pc2' 'combined_pc3'
 'sd.combined_pc3']","[ 2.05212275e+00 -2.56840405e-02  4.98602447e+00 -2.06624220e+00
  7.77306882e+00  1.15094187e+01  6.36289599e+00  5.87522845e+00
  1.75788331e+01  1.50550369e+00 -6.23010765e+00  1.71098505e+00
  9.93946911e+00  1.20761944e+01 -2.43019831e-01 -2.39488602e-01
  3.91304688e+00  5.02965901e-03  4.60952196e+00  2.72719907e+00
  2.46008986e+00 -9.81077781e-01]","[0.70943826 0.26802914 1.21849563 1.05861598 1.44253178 1.83828969
 1.36671493 1.25753522 3.55614956 0.55949387 0.63045988 0.2933269
 1.96893111 2.27733491 0.25955238 0.34735464 0.83740694 0.03343234
 0.85008743 0.47739501 0.55880395 0.53519259]",0.00359665613607782,combined,combined,16040408,6173.582272480431,11.34545513012199,0.0034384738129767576,0.00023184987083385854,16040408,Health & Household,Household Supplies,Household Batteries,AAA,1610.0,23.0,10.795845985412598,68.0,4055.0,7.0
price and PC1,-3069.86763188947,6183.735263778941,"['product_id_1' 'product_id_10' 'product_id_11' 'product_id_12'
 'product_id_13' 'product_id_14' 'product_id_15' 'product_id_16'
 'product_id_17' 'product_id_18' 'product_id_19' 'product_id_2'
 'product_id_20' 'product_id_21' 'product_id_3' 'product_id_4'
 'product_id_5' 'price' 'combined_pc1' 'combined_pc2' 'combined_pc3'
 'sd.price' 'sd.combined_pc1']","[ 1.77727777 -0.07635284  3.83593726 -0.4148041   5.9154695   8.10762358
  4.91222681  4.4772516  13.73271227  1.4469224  -5.57442349  1.80978314
  7.24790258  8.17664148 -0.24430748 -0.08972017  3.07691862  0.01415042
  3.03474598  2.32648603  1.75186758 -1.02984743  0.        ]","[0.73429712 0.27846337 1.220457   0.71926924 1.52895896 3.24870776
 1.3210956  1.1848125  4.86226948 0.57341546 0.61757742 0.29416088
 2.29979216 3.16235012 0.2753138  0.46681943 0.76390266 0.03522887
 1.29768776 0.44504427 0.48276935 0.04356036 0.87685116]",0.0018735643346727,combined,combined,16040408,6173.582272480431,10.152991298509733,0.006241743995104684,0.00042086914653283565,16040408,Health & Household,Household Supplies,Household Batteries,AAA,1610.0,23.0,10.795845985412598,68.0,4055.0,7.0
price and PC2,-3070.326586456346,6186.653172912693,"['product_id_1' 'product_id_10' 'product_id_11' 'product_id_12'
 'product_id_13' 'product_id_14' 'product_id_15' 'product_id_16'
 'product_id_17' 'product_id_18' 'product_id_19' 'product_id_2'
 'product_id_20' 'product_id_21' 'product_id_3' 'product_id_4'
 'product_id_5' 'price' 'combined_pc1' 'combined_pc2' 'combined_pc3'
 'sd.price' 'sd.combined_pc2']","[ 1.37106513e+00 -8.09906586e-02  3.20689237e+00 -4.17461370e-01
  4.45808239e+00  7.70430561e+00  3.64349036e+00  3.27010994e+00
  1.12317451e+01  1.30179276e+00 -5.77534968e+00  1.77758725e+00
  5.72645496e+00  6.99918374e+00 -2.96449945e-01 -6.95932751e-01
  2.51139579e+00  1.05893839e-02  2.57365248e+00  1.72405292e+00
  1.43893052e+00 -3.33275784e-03  1.01525317e+00]","[0.8598407  0.27370249 1.55259757 0.5509643  2.57118367 3.31019637
 2.12060563 1.96311153 6.48453599 0.62269773 0.50067866 0.28703577
 3.3041819  3.86162365 0.26550168 0.59323541 1.06878824 0.03409349
 1.57153543 0.81293154 0.6593851  0.04045084 0.68844108]",0.003093389737897191,combined,combined,16040408,6173.582272480431,13.070900432261624,0.0014510755830339005,9.784331793567448e-05,16040408,Health & Household,Household Supplies,Household Batteries,AAA,1610.0,23.0,10.795845985412598,68.0,4055.0,7.0
price and PC3,-3069.95125700663,6185.902514013261,"['product_id_1' 'product_id_10' 'product_id_11' 'product_id_12'
 'product_id_13' 'product_id_14' 'product_id_15' 'product_id_16'
 'product_id_17' 'product_id_18' 'product_id_19' 'product_id_2'
 'product_id_20' 'product_id_21' 'product_id_3' 'product_id_4'
 'product_id_5' 'price' 'combined_pc1' 'combined_pc2' 'combined_pc3'
 'sd.price' 'sd.combined_pc3']","[ 2.40980418e+00 -2.49953645e-02  4.98945162e+00 -1.19567231e+00
  7.71738529e+00  1.17461631e+01  6.42150798e+00  5.82714066e+00
  1.85890784e+01  1.70178015e+00 -6.67646793e+00  1.62997364e+00
  9.81177884e+00  1.19268849e+01 -4.40724604e-01  4.67307693e-02
  3.88372607e+00 -1.36611122e-02  4.51292004e+00  2.80758939e+00
  2.33364536e+00  7.46679092e-02  5.73817352e-01]","[0.75808884 0.26824688 1.16824214 0.68530353 1.34824981 1.82041475
 1.30596355 1.17296577 3.60019166 0.56018696 0.89320124 0.31437068
 1.84222732 2.11394722 0.29997494 0.3953695  0.78649233 0.03528747
 0.78366572 0.47041735 0.47033977 0.03884803 0.36339438]",0.0020522465970245,combined,combined,16040408,6173.582272480431,12.320241532829641,0.0021119981978803817,0.00014240809615356475,16040408,Health & Household,Household Supplies,Household Batteries,AAA,1610.0,23.0,10.795845985412598,68.0,4055.0,7.0
PC1 and PC2,-3068.727447600758,6183.454895201516,"['product_id_1' 'product_id_10' 'product_id_11' 'product_id_12'
 'product_id_13' 'product_id_14' 'product_id_15' 'product_id_16'
 'product_id_17' 'product_id_18' 'product_id_19' 'product_id_2'
 'product_id_20' 'product_id_21' 'product_id_3' 'product_id_4'
 'product_id_5' 'price' 'combined_pc1' 'combined_pc2' 'combined_pc3'
 'sd.combined_pc1' 'sd.combined_pc2']","[ 1.52307194 -0.09797888  3.35754546 -0.28889016  5.00858902  7.01912177
  4.17155025  3.78668868 11.53353488  1.31459349 -5.6008904   1.78008576
  6.1155481   6.87298887 -0.25448631 -0.29537019  2.73511968  0.01723012
  2.4876486   2.05297212  1.53346274 -0.99954172 -0.57313219]","[0.77597047 0.27332641 1.31907384 0.5457555  1.82614981 2.98758534
 1.57340909 1.42917815 5.10465345 0.5884767  0.50882257 0.28166132
 2.49467211 3.12688766 0.26262415 0.43920814 0.85503008 0.03442873
 1.27708989 0.55374841 0.5250291  0.62993254 0.43940072]",0.0005465242596381247,combined,combined,16040408,6173.582272480431,9.872622721084554,0.007181037839026865,0.0004842039771098537,16040408,Health & Household,Household Supplies,Household Batteries,AAA,1610.0,23.0,10.795845985412598,68.0,4055.0,7.0
