Category_Code,descriptions,images,reviews,titles,category1,category2,category3,category4,num_transactions,mean_price,sum_check
10060201,0.017,0.931,0.033,0.019,"Clothing, Shoes & Jewelry",Men,Clothing,Active,1078.0,13.96172046661377,1.0
10060207,0.005,0.014,0.598,0.383,"Clothing, Shoes & Jewelry",Men,Clothing,Shirts,913.0,13.251250267028809,1.0
10060215,0.029,0.173,0.021,0.777,"Clothing, Shoes & Jewelry",Men,Clothing,Underwear,732.0,16.73166275024414,1.0
10110210,0.056,0.821,0.078,0.046,"Clothing, Shoes & Jewelry",Women,Clothing,"Lingerie, Sleep & Lounge",552.0,15.022048950195312,1.0010000000000001
10110218,0.116,0.127,0.023,0.735,"Clothing, Shoes & Jewelry",Women,Clothing,"Tops, Tees & Blouses",333.0,20.28270149230957,1.001
13010204,0.11,0.008,0.866,0.017,Electronics,Accessories & Supplies,Audio & Video Accessories,Cables & Interconnects,644.0,9.981947898864746,1.001
13060104,0.963,0.017,0.004,0.017,Electronics,Computers & Accessories,Computer Accessories & Peripherals,Cables & Accessories,726.0,14.097244262695312,1.001
13060112,0.978,0.004,0.01,0.008,Electronics,Computers & Accessories,Computer Accessories & Peripherals,"Keyboards, Mice & Accessories",656.0,20.646076202392578,1.0
13060114,0.089,0.908,0.0,0.003,Electronics,Computers & Accessories,Computer Accessories & Peripherals,Memory Cards,280.0,12.26,1.0
13060404,0.891,0.109,0.0,0.0,Electronics,Computers & Accessories,Computers & Tablets,Tablets,593.0,149.31,1.0
13060701,0.174,0.461,0.194,0.17,Electronics,Computers & Accessories,Monitors,Monitors,278.0,127.0,0.9989999999999999
13110101,0.071,0.707,0.079,0.143,Electronics,Headphones,Earbud Headphones,Earbud Headphones,1598.0,81.51,0.9999999999999999
13181001,0.0,1.0,0.0,0.0,Electronics,Television & Video,Streaming Media Players,Streaming Media Players,2470.0,55.1854362487793,1.0
14020210,0.294,0.009,0.011,0.685,Grocery & Gourmet Food,Beverages,"Bottled Beverages, Water & Drink Mixes",Water,507.0,10.54195785522461,0.999
14020605,0.507,0.258,0.224,0.011,Grocery & Gourmet Food,Beverages,"Coffee, Tea & Cocoa",Coffee,1000.0,31.875690460205078,1.0
14020608,0.047,0.612,0.121,0.22,Grocery & Gourmet Food,Beverages,"Coffee, Tea & Cocoa",Tea,427.0,15.68187427520752,1.0
14180404,0.458,0.102,0.322,0.118,Grocery & Gourmet Food,Snack Foods,Chips & Crisps,Potato,448.0,13.418075561523438,1.0
16030103,0.64,0.109,0.016,0.236,Health & Household,Health Care,Alternative Medicine,Aromatherapy,794.0,13.388595581054688,1.001
16040408,0.084,0.423,0.103,0.39,Health & Household,Household Supplies,Household Batteries,AAA,1610.0,10.795845985412598,0.9999999999999999
16041006,0.324,0.295,0.1,0.28,Health & Household,Household Supplies,Paper & Plastic,Paper & Plastic,923.0,21.764205932617188,0.999
16041007,0.086,0.011,0.009,0.895,Health & Household,Household Supplies,Paper & Plastic,Paper Towels,728.0,21.6958065032959,1.001
17021806,0.016,0.877,0.093,0.014,Home & Kitchen,Bedding,Sheets & Pillowcases,Sheet & Pillowcase Sets,864.0,30.230554580688477,1.0
17050304,0.504,0.416,0.063,0.017,Home & Kitchen,Furniture,Bedroom Furniture,"Beds, Frames & Bases",360.0,146.30960083007812,1.0
17050306,0.14,0.065,0.777,0.018,Home & Kitchen,Furniture,Bedroom Furniture,Mattresses & Box Springs,376.0,202.8076629638672,1.0
17111205,0.006,0.51,0.483,0.001,Home & Kitchen,Kitchen & Dining,Storage & Organization,Food Storage,382.0,24.747821807861328,1.0
21010906,0.579,0.082,0.102,0.237,Office Products,Office & School Supplies,Filing Products,Folders,538.0,12.40532398223877,0.9999999999999999
21011403,0.082,0.029,0.589,0.299,Office Products,Office & School Supplies,Paper,Copy & Printing Paper,876.0,35.35289764404297,0.999
21012004,0.118,0.769,0.088,0.025,Office Products,Office & School Supplies,Writing & Correction Supplies,Markers & Highlighters,547.0,8.665539741516113,1.0
21012008,0.022,0.588,0.372,0.018,Office Products,Office & School Supplies,Writing & Correction Supplies,Pens & Refills,518.0,24.91851234436035,1.0
21021101,0.25,0.074,0.041,0.635,Office Products,Office Electronics,Printers & Accessories,Printer Parts & Accessories,741.0,59.9017448425293,1.0
23021004,0.421,0.404,0.077,0.098,Pet Supplies,Cats,Food,Wet,414.0,13.86228084564209,1.0
23021309,0.097,0.069,0.062,0.771,Pet Supplies,Cats,Litter & Housebreaking,Litter,347.0,21.821752548217773,0.9990000000000001
23021802,0.051,0.276,0.662,0.011,Pet Supplies,Cats,Treats,Snacks,468.0,11.89913272857666,1.0
23031107,0.059,0.712,0.135,0.095,Pet Supplies,Dogs,Food,Wet,350.0,17.949806213378906,1.001
23031904,0.028,0.01,0.035,0.928,Pet Supplies,Dogs,Treats,"Cookies, Biscuits & Snacks",482.0,15.223137855529785,1.0010000000000001
27040201,0.121,0.386,0.31,0.183,Video Games,Nintendo Switch,Consoles,Consoles,312.0,199.80755615234375,1.0
27040301,0.793,0.04,0.068,0.099,Video Games,Nintendo Switch,Games,Games,527.0,50.81248092651367,1.0
27060103,0.208,0.312,0.137,0.343,Video Games,PC,Accessories,Gaming Keyboards,286.0,65.49876403808594,1.0
27070401,0.953,0.031,0.0,0.015,Video Games,PlayStation 4,Games,Games,447.0,53.215213775634766,0.999
27100401,0.0,0.998,0.002,0.0,Video Games,Xbox One,Games,Games,378.0,44.45339584350586,1.0
Average,0.343675,0.22400000000000003,0.259675,0.1727,1.0000499999999999,,,,,,
