asin,0,1,2,3,4,5,6,7,8,9
B098MHBF23,-14.931398,-2.361068,-12.489586,0.8071352,-7.618146,0.31219575,-6.6962,0.84573144,-0.7678535,-1.6039459e-06
B09H7Q4B74,7.466649,7.285438,-7.4779034,1.6987613,0.5073553,-12.787292,6.0799923,0.4092939,-0.9849056,-1.6039481e-06
B09T66MSLN,-13.63081,3.2970533,6.5208583,3.4136488,3.575957,0.1980888,2.8724737,-9.411933,-4.7564793,-1.6039445e-06
B09TWSRMCB,2.713548,-6.336107,-8.7734585,-9.021627,6.759016,7.3848763,6.862387,-1.8696295,1.3394938,-1.6039465e-06
B09WQ218GR,-13.853402,4.062951,6.377432,-0.15372714,4.911987,-0.53042036,2.6487374,9.436113,4.5217376,-1.6039475e-06
B09WRJJKXC,8.930735,6.873924,1.6306531,-3.285105,3.8884163,3.587406,-6.6339374,4.9661436,-8.134559,-1.6039459e-06
B0B1XQTZ1R,7.8524213,-11.304551,-0.44280595,14.971052,4.583386,1.6983708,-1.9109646,0.79456425,1.289703,-1.6039457e-06
B0BCQZP4SX,7.06067,10.925846,1.4935724,-1.6091627,0.077782854,1.5271535,-7.0185733,-5.633304,7.768138,-1.603945e-06
B0BFFJRB2S,6.0721445,2.0960026,4.8579965,1.9216527,-13.764081,6.00106,7.1544733,1.3818469,-0.43398774,-1.6039463e-06
B0BWNW9G8X,2.3194408,-14.539486,8.30325,-8.742629,-2.921666,-7.3914285,-3.3584015,-0.9188444,0.15871087,-1.6039465e-06
