asin,0,1,2,3,4,5,6,7,8,9
B098MHBF23,16.987474,1.3346057,-7.6811137,-10.356327,-11.487264,4.377197,4.170595,3.3088717,-0.9669218,3.8516696e-06
B09H7Q4B74,-9.55886,12.4296875,3.0530682,-10.97148,11.080767,7.832849,0.70285094,2.4679072,-1.4725578,3.8516737e-06
B09T66MSLN,16.29104,0.9700142,6.6714945,6.605008,6.9973307,-5.249645,-1.3374941,9.585288,4.8070917,3.851677e-06
B09TWSRMCB,-3.766346,-6.1242995,-17.223667,-5.178235,6.894784,-8.821161,-4.1566887,-1.9568517,1.5025718,3.851672e-06
B09WQ218GR,14.836125,4.816469,6.0477953,1.5747242,1.8525237,-0.91244406,-5.1413393,-12.335433,-4.304696,3.8516705e-06
B09WRJJKXC,-9.020044,4.249207,-0.41046375,7.5828466,-3.933399,-6.5807652,2.990086,4.4026437,-11.6470175,3.851675e-06
B0B1XQTZ1R,-8.172909,-16.432533,13.742456,-9.736087,-3.9191778,-2.674311,-1.7521234,0.30263305,0.14220358,3.851675e-06
B0BCQZP4SX,-7.6640425,6.95777,1.9146233,2.9523938,-3.3881156,-4.8736563,11.028606,-5.6940756,8.169091,3.8516755e-06
B0BFFJRB2S,-10.023395,5.5453067,-1.9999539,6.877067,-9.139923,5.3146067,-11.473578,1.4415388,4.752433,3.851671e-06
B0BWNW9G8X,0.0909791,-13.746223,-4.1142597,10.650078,5.042455,11.5873375,4.969069,-1.5225413,-0.98220474,3.851674e-06
