asin,0,1,2,3,4,5,6,7,8,9
B098MHBF23,-16.05555,-9.7517605,-9.781346,-8.267813,-5.4691434,3.0775776,-4.8817363,-17.34854,-20.511885,-8.106166e-06
B09H7Q4B74,-4.712011,13.676427,7.170827,42.485916,9.148184,7.056649,-6.3477135,-4.479168,-1.0065343,-8.106181e-06
B09T66MSLN,-22.106655,-8.65376,-11.555532,-4.2404265,-11.524551,3.7589064,-8.985686,-11.627404,20.39398,-8.10618e-06
B09TWSRMCB,-4.21984,10.461312,43.454147,-15.248022,-6.0403614,-2.9815466,-6.2911005,-0.55716276,0.33619797,-8.106173e-06
B09WQ218GR,-21.020828,-12.990873,-6.0908613,4.423776,-9.963952,-5.968545,-6.720892,28.48791,-4.27408,-8.106175e-06
B09WRJJKXC,50.029472,-20.013601,-2.6949058,1.3453733,-5.0795975,-1.3900793,-14.937802,-0.13727105,0.6618879,-8.106183e-06
B0B1XQTZ1R,13.513155,43.977283,-17.242071,-7.850762,-14.53499,1.6592813,5.754709,3.578524,-0.75934064,-8.106178e-06
B0BCQZP4SX,3.2413552,-10.946023,2.1373794,8.157671,-3.2104137,-26.634905,27.847313,-5.391843,1.8142337,-8.106178e-06
B0BFFJRB2S,4.1015587,-12.491395,3.2828553,-6.250261,8.128205,32.08932,21.083769,5.3108053,1.2922279,-8.106182e-06
B0BWNW9G8X,-2.7707255,6.732384,-8.68047,-14.555494,38.546627,-10.666683,-6.5208707,2.1641316,2.053283,-8.106174e-06
