asin,0,1,2,3,4,5,6,7,8,9
B098MHBF23,-16.15565,-18.888258,-13.47333,0.06747559,0.33787265,-3.885803,-1.0246273,-13.45069,21.529125,6.40912e-06
B09H7Q4B74,-6.324331,9.677367,21.219925,30.950943,-25.278975,-3.7370713,0.4225923,-2.7286856,0.03296851,6.409122e-06
B09T66MSLN,-22.172836,-16.817177,-13.2121725,1.391943,2.6485531,-3.878783,-5.8701634,-11.886772,-21.022423,6.409125e-06
B09TWSRMCB,-0.8702663,44.01505,-28.070063,-5.3374233,-3.8688602,-2.566584,0.596317,-0.09829429,0.37561062,6.4091264e-06
B09WQ218GR,-8.010368,-19.294853,-13.059833,-2.3971503,-11.593038,-0.13992321,2.0794475,27.785557,0.29648224,6.409122e-06
B09WRJJKXC,35.863007,-3.4850261,6.60848,-7.8330536,0.21129377,-12.242985,-26.754345,0.39144403,0.61802614,6.409127e-06
B0B1XQTZ1R,-19.837479,7.3311725,26.390785,-32.761955,-6.2571316,13.033807,0.46965495,-1.5384557,0.1754238,6.4091237e-06
B0BCQZP4SX,32.774536,-8.604499,2.0672386,-7.997271,-1.5832282,-10.845656,27.359774,-5.6978693,-3.317703,6.4091196e-06
B0BFFJRB2S,18.764582,-2.913417,-3.8091116,13.188794,11.131078,37.131554,-0.50539047,-0.97855926,-0.21134646,6.409121e-06
B0BWNW9G8X,-14.031207,8.97962,15.338107,10.727717,34.25246,-12.86855,3.2267652,8.202332,1.523849,6.4091164e-06
