asin,0,1,2,3,4,5,6,7,8,9
B098MHBF23,-14.267381,-7.344838,9.432646,4.0111923,1.5390313,3.3075387,6.6982203,-2.8323607,3.4107845,1.845534e-06
B09H7Q4B74,2.3124576,9.114347,0.7206736,8.031492,5.1506934,-5.6984634,-5.9655447,-5.5880666,8.916643,1.8455347e-06
B09T66MSLN,0.15472993,0.8611811,9.663424,-10.8507,8.539459,-4.4225264,-5.6061068,1.5547029,-6.2837653,1.8455335e-06
B09TWSRMCB,4.2449903,4.403942,-6.7402787,-3.1181214,9.934465,9.002121,7.592227,5.381769,2.9855447,1.8455338e-06
B09WQ218GR,-9.9124155,12.709144,-0.715918,0.73753923,-9.27926,0.7466347,-1.4785085,7.35453,-2.9122164,1.8455345e-06
B09WRJJKXC,9.50914,2.347684,1.9820263,6.065968,-2.6952987,-5.114556,10.238888,-4.228353,-8.551008,1.8455331e-06
B0B1XQTZ1R,-2.1593707,-8.764282,-8.136796,9.631579,3.5692127,2.596017,-8.21617,1.7628031,-7.0409665,1.845534e-06
B0BCQZP4SX,7.733656,-9.156399,1.9588338,-0.38648042,-5.604252,-6.2597218,0.1588988,10.025596,6.8463297,1.845534e-06
B0BFFJRB2S,8.156236,-0.94979495,3.8942406,-3.9148974,-8.122239,11.962405,-5.222541,-6.3694286,1.1350491,1.8455357e-06
B0BWNW9G8X,-5.772046,-3.2209842,-12.058859,-10.207568,-3.0318117,-6.1194615,1.8006475,-7.061185,1.4935979,1.8455338e-06
