asin,0,1,2,3,4,5,6,7,8,9
B098MHBF23,-2.9596565,3.372014,18.666828,-7.835463,3.2110677,-1.3318027,-6.906435,6.749561,-3.2384543,-2.626339e-06
B09H7Q4B74,0.045033295,7.777614,4.1410584,-9.75294,-4.4389787,5.8010545,13.903069,-4.5666265,3.6270814,-2.6263401e-06
B09T66MSLN,-5.396353,3.0325794,9.340891,18.237902,-1.8676205,-0.83343,0.714018,-8.012747,-1.4844854,-2.6263383e-06
B09TWSRMCB,-3.1146262,5.6548967,-8.559837,-8.4309,5.2060933,-6.7036576,-7.768268,-11.485463,-1.2066362,-2.626338e-06
B09WQ218GR,-11.111389,-17.791512,-1.1956221,-3.0754826,-10.523729,-5.848421,0.4156682,0.9356644,3.5092976,-2.6263392e-06
B09WRJJKXC,9.016131,3.974617,-6.613317,0.72378063,-14.485657,7.330146,-6.216501,2.2459574,-7.0537586,-2.6263374e-06
B0B1XQTZ1R,-7.6381173,12.600247,-9.633526,5.110542,1.4589888,-6.265408,2.4913783,10.696775,3.947243,-2.626338e-06
B0BCQZP4SX,14.443329,-7.258552,-1.4044287,1.1287327,6.3079467,-8.351547,8.191376,1.7122769,-8.49113,-2.626338e-06
B0BFFJRB2S,15.707676,-3.6843884,1.1826252,2.6905246,3.4661973,2.340639,-4.996134,0.15369262,13.251092,-2.6263401e-06
B0BWNW9G8X,-8.992027,-7.677522,-5.92468,1.2033103,11.66569,13.862411,0.1718259,1.5709153,-2.8602579,-2.6263385e-06
