asin,0,1,2,3,4,5,6,7,8,9
B098MHBF23,-19.079268,10.476547,-9.974217,3.1783059,2.8539305,0.7886981,0.33527815,4.558294,0.30603957,-1.5939875e-06
B09H7Q4B74,8.013872,9.908046,2.2074463,-9.939392,-7.082477,1.490147,6.9678073,0.059440807,3.4953845,-1.5939879e-06
B09T66MSLN,-13.930083,-5.295169,2.0126991,-6.8261967,1.8775717,3.7409732,-4.9062414,-8.782346,4.431407,-1.5939873e-06
B09TWSRMCB,6.611445,-7.2865305,-3.7289484,10.976849,-0.9620399,1.4382328,5.2958846,-0.7290985,8.244596,-1.5939862e-06
B09WQ218GR,-14.264537,-4.8951654,12.785581,3.4807448,-4.735007,-3.5706527,4.457489,2.7499526,-4.0641823,-1.593987e-06
B09WRJJKXC,6.496326,-1.102119,2.9618275,-3.7444139,4.3359876,-9.318279,-6.966342,6.5661592,4.8420043,-1.5939875e-06
B0B1XQTZ1R,4.25538,-5.2267265,-9.460653,-3.7633412,2.9781146,-7.657562,5.1136794,-4.9451637,-6.3569965,-1.5939883e-06
B0BCQZP4SX,9.458582,7.1262846,8.267527,4.181394,11.393089,4.3630676,0.93652797,-2.6174371,-3.130805,-1.5939864e-06
B0BFFJRB2S,6.9344225,5.2131753,-1.5306244,6.6778235,-9.615404,-0.9756718,-8.911548,-4.150409,-3.4706464,-1.5939883e-06
B0BWNW9G8X,5.503858,-8.918347,-3.540631,-4.221757,-1.0437593,9.701051,-2.3225203,7.290612,-4.296796,-1.5939877e-06
