asin,0,1,2,3,4,5,6,7,8,9
B098MHBF23,-19.443867,-8.688729,8.660418,-1.367562,-4.1775746,12.096261,-0.7964268,1.2305285,-0.9004087,2.802194e-06
B09H7Q4B74,6.721266,1.640502,-3.4591613,6.00707,3.7915192,5.9314995,12.639684,-9.059411,-3.3643992,2.802193e-06
B09T66MSLN,-14.073538,5.23851,2.671723,-11.57273,3.1253543,-8.712044,5.7976494,-3.857021,5.80027,2.8021934e-06
B09TWSRMCB,7.353627,7.202481,3.1740103,3.4269533,-4.018063,1.4544734,-12.04594,-9.684928,5.195403,2.8021911e-06
B09WQ218GR,-18.860445,0.6871058,-10.477264,12.17715,1.5518926,-6.147412,-3.3754754,2.3981948,-1.3099163,2.8021927e-06
B09WRJJKXC,10.319523,0.85540324,-4.9666543,1.4448487,0.14150284,5.2520065,3.4065278,9.285703,11.2040615,2.8021925e-06
B0B1XQTZ1R,3.9329824,7.286095,-10.818691,-10.339026,-9.080069,2.2190566,-1.7727175,2.3392396,-7.2544904,2.802191e-06
B0BCQZP4SX,9.871595,-8.274252,8.534575,4.496937,-11.077938,-9.99229,4.358642,2.112319,-1.8668548,2.8021943e-06
B0BFFJRB2S,9.072193,-18.076578,-4.102475,-5.59419,9.803251,-1.883989,-5.850715,-1.4187576,-1.6431471,2.8021932e-06
B0BWNW9G8X,5.106675,12.129476,10.783505,1.3205433,9.94012,-0.2175612,-2.3612425,6.6541286,-5.8605175,2.802193e-06
