asin,0,1,2,3,4,5,6,7,8,9
B098MHBF23,-8.617003,-8.170838,-0.4746348,1.178261,-5.713652,-1.7841051,-2.230173,-6.4940295,-5.863199,2.484881e-06
B09H7Q4B74,1.6669222,15.791909,-7.221443,-15.246953,-4.8022285,2.4150105,-5.5168576,-0.09520287,-0.22028859,2.484884e-06
B09T66MSLN,-10.3920765,-7.806312,-1.0018044,-0.12678164,-4.913321,-2.4162898,-2.406169,-3.8988223,6.9496365,2.4848846e-06
B09TWSRMCB,-7.721676,-1.1425108,-2.2005563,-6.283776,4.9676085,3.0635211,17.771442,0.06711345,-0.15187843,2.4848803e-06
B09WQ218GR,-6.954711,-10.734367,-2.2713168,-0.5048126,-5.532747,-1.2412244,-2.7615325,9.850628,-1.081737,2.484884e-06
B09WRJJKXC,26.111174,-5.218852,10.829807,-5.2981286,-1.3085886,-7.8049626,2.121322,-0.334543,0.20730384,2.4848825e-06
B0B1XQTZ1R,-7.7412276,0.33660483,3.593686,-1.6103607,18.218828,-4.058887,-7.6263113,0.22937182,-0.3453974,2.4848844e-06
B0BCQZP4SX,9.260183,-3.2691422,4.1271477,4.7831383,1.5008447,18.666813,-3.0470448,-0.41558865,0.36408347,2.4848835e-06
B0BFFJRB2S,12.625911,3.5624716,-17.866405,12.182292,2.3480947,-4.137002,1.3048134,-0.18902445,0.14745034,2.484884e-06
B0BWNW9G8X,-8.237498,16.651028,12.485522,10.927114,-4.7648354,-2.7028697,2.3905468,1.280096,-0.0059817038,2.4848832e-06
