asin,0,1,2,3,4,5,6,7,8,9
B098MHBF23,-18.443865,13.226399,10.36915,-3.3949535,-7.031666,-1.0674403,0.865125,-12.667342,12.320227,-1.1614091e-05
B09H7Q4B74,-1.5297087,-29.123379,-12.053314,22.229988,-22.550604,-20.049839,-3.7430623,0.55211276,0.31605738,-1.1614081e-05
B09T66MSLN,-19.574905,12.587087,11.201205,-2.6575284,-6.627319,-3.5066066,0.40578505,-14.716095,-11.489226,-1.16140745e-05
B09TWSRMCB,31.111982,-22.852716,31.653866,-18.290146,2.7149012,-3.1537948,2.288767,-0.25240615,0.043453623,-1.1614077e-05
B09WQ218GR,-16.886246,18.10375,15.611849,-0.14346878,-7.2444043,-3.2254043,-5.1719804,24.40709,-0.48738205,-1.16140545e-05
B09WRJJKXC,0.17320065,-1.1450827,-2.2852683,17.769547,10.275554,11.13885,36.396645,2.5992563,-0.23754668,-1.1614067e-05
B0B1XQTZ1R,-12.330541,-4.9971337,-17.261122,-13.765941,32.55115,-21.947962,-3.2558208,1.226015,0.28156337,-1.16140645e-05
B0BCQZP4SX,2.0112712,-6.3146195,3.7036593,23.514446,17.076143,23.76794,-24.024946,-2.1082587,-0.058976028,-1.1614073e-05
B0BFFJRB2S,41.392715,32.447334,-16.728498,2.4563105,-5.262186,-6.103838,-3.397877,-1.6118311,-0.1524118,-1.1614081e-05
B0BWNW9G8X,-5.9239616,-11.931644,-24.211542,-27.718302,-13.901522,24.148134,-0.3626331,2.5715292,-0.53577805,-1.1614057e-05
